Node,Type,Function,Domain,Tier,Description
Levels of Service,input,,Cross-cutting,Owner,"Target reliability and service levels the assets must deliver"
Risk Appetite,input,,Cross-cutting,Owner,"How much asset risk the organization is willing to accept"
Asset Management Leadership,function,Asset Management Leadership,Cross-cutting,Manager,"Owns the SAMP; sets strategy, prioritization and budgets across all domains"
Reporting & Analytics,function,Reporting & Analytics,Substation,Manager,"Performance metrics, condition data and risk scoring for substation assets"
Reporting & Analytics,function,Reporting & Analytics,Distribution,Manager,"Performance metrics, condition data and risk scoring for distribution assets"
Reporting & Analytics,function,Reporting & Analytics,Transmission,Manager,"Performance metrics, condition data and risk scoring for transmission assets"
Maintenance Programs,function,Maintenance Programs,Substation,Manager,"Defines preventive and condition-based maintenance per substation asset class"
Maintenance Programs,function,Maintenance Programs,Distribution,Manager,"Defines preventive and condition-based maintenance per distribution asset class"
Maintenance Programs,function,Maintenance Programs,Transmission,Manager,"Defines preventive and condition-based maintenance per transmission asset class"
Investment & Initiatives,function,Investment & Initiatives,Substation,Manager,"Long-term replacement and improvement programs for substation assets"
Investment & Initiatives,function,Investment & Initiatives,Distribution,Manager,"Long-term replacement and improvement programs for distribution assets"
Investment & Initiatives,function,Investment & Initiatives,Transmission,Manager,"Long-term replacement and improvement programs for transmission assets"
Commissioning & Acceptance,function,Commissioning & Acceptance,Substation,Manager,"Acceptance testing and handover of new or refurbished substation assets"
Commissioning & Acceptance,function,Commissioning & Acceptance,Transmission,Manager,"Acceptance testing and handover of new or refurbished transmission assets"
Transformers,asset,,Substation,,"Power transformers"
Breakers,asset,,Substation,,"Circuit breakers"
Relays,asset,,Substation,,"Protective relays"
Grounding Grids,asset,,Substation,,"Substation ground grids"
RTU,asset,,Substation,,"Remote terminal units / SCADA interface"
Substations,asset,,Substation,,"Whole-substation scope"
Poles,asset,,Distribution,,"Distribution poles"
Distribution Lines,asset,,Distribution,,"Overhead distribution conductor and laterals"
Reclosers,asset,,Distribution,,"Reclosing devices"
FCI,asset,,Distribution,,"Fault current indicators"
Distribution Transformers,asset,,Distribution,,"Distribution transformers"
Pole-Mounted Cutouts,asset,,Distribution,,"Sectionalizing fuse cutouts"
Fuses,asset,,Distribution,,"Line fuses"
Underground Lines,asset,,Distribution,,"Underground distribution segments"
Meters,asset,,Distribution,,"Customer meters / AMI endpoints"
Transmission Lines,asset,,Transmission,,"Overhead transmission conductor"
Insulators,asset,,Transmission,,"Transmission insulators"
Hardware,asset,,Transmission,,"Transmission line hardware"
Overhead Ground Wire,asset,,Transmission,,"Shield / overhead ground wire"
Towers,asset,,Transmission,,"Transmission towers and structures"
Transformer Replacement Project,program,Investment & Initiatives,Substation,,"Replace end-of-life and at-risk substation transformers"
Breaker Replacement Project,program,Investment & Initiatives,Substation,,"Replace breakers at end of life"
Relay Modernization,program,Investment & Initiatives,Substation,,"Replace electromagnetic relays with modern digital ones"
Transformer Dissolved Gas Analysis,program,Maintenance Programs,Substation,,"Cyclical DGA on all transformers"
Ground Grid Rebuild,program,Investment & Initiatives,Substation,,"Rebuild deficient substation ground grids"
Distribution Automation,program,Investment & Initiatives,Distribution,,"Install reclosing devices on distribution lines"
Distribution Pole Replacement,program,Investment & Initiatives,Distribution,,"Replace damaged or at-risk distribution poles"
Advanced Metering Infrastructure,program,Investment & Initiatives,Distribution,,"Island-wide AMI 2.0 meter rollout"
Insulator & Hardware Replacement,program,Investment & Initiatives,Transmission,,"Replace corroded or damaged insulators and hardware"
Vegetation Management,program,Maintenance Programs,Cross-cutting,,"Right-of-way vegetation clearing across all domains"
Procurement,external,,,,"Sources materials and spares to Asset Management specifications"
PMO / PAC,external,,,,"Delivers capital projects prioritized by Asset Management"
Operations,external,,,Service Provider,"Executes field work orders and switching"
Standards,external,,,,"Codifies technical standards that Asset Management requires"
Engineering,external,,,,"Provides design support to Asset Management programs"
System Planning,external,,,,"Plans grid capacity and interconnections"
OTS,external,,,,"Operations technology / telecom and SCADA systems"
Work Management,external,,,Service Provider,"Schedules and dispatches field execution"
